point_id,polygon_id,class,di_t+0,di_t+1,di_t+10,di_t+11,di_t+12,di_t+14,di_t+15,di_t+16,di_t+17,di_t+18,di_t+19,di_t+2,di_t+20,di_t+21,di_t+22,di_t+23,di_t+24,di_t+25,di_t+26,di_t+3,di_t+4,di_t+5,di_t+6,di_t+7,di_t+8,di_t+9,di_t-1,di_t-10,di_t-11,di_t-12,di_t-13,di_t-14,di_t-15,di_t-16,di_t-17,di_t-18,di_t-19,di_t-2,di_t-20,di_t-21,di_t-22,di_t-23,di_t-24,di_t-25,di_t-27,di_t-28,di_t-29,di_t-3,di_t-30,di_t-31,di_t-32,di_t-33,di_t-34,di_t-35,di_t-36,di_t-37,di_t-38,di_t-39,di_t-4,di_t-40,di_t-41,di_t-42,di_t-43,di_t-44,di_t-45,di_t-46,di_t-47,di_t-48,di_t-49,di_t-5,di_t-50,di_t-51,di_t-52,di_t-6,di_t-7,di_t-8,di_t-9,FCC_Date,Flight_Date
0,1,2,,2.0,4.0,,4.0,4.0,,4.0,,,4.0,,,4.0,,4.0,,4.0,,2.0,,,3.0,,4.0,,1.0,1.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,1.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,,,0.0,1.0,,0.0,,,1.0,,,2023-10-01,2023-08-19
1,1,2,,2.0,4.0,,4.0,4.0,,4.0,,,4.0,,,4.0,,4.0,,4.0,,3.0,,,4.0,,4.0,,1.0,1.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,1.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,,,0.0,1.0,,0.0,,,1.0,,,2023-10-01,2023-08-19
2,1,2,,3.0,5.0,,5.0,5.0,,5.0,,,5.0,,,5.0,,5.0,,5.0,,3.0,,,4.0,,5.0,,2.0,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,,,0.0,,0.0,,0.0,,0.0,,,0.0,2.0,,1.0,,,1.0,,,2023-09-15,2023-08-19
3,1,2,,1.0,3.0,,3.0,3.0,,3.0,,,3.0,,,3.0,,4.0,,4.0,,2.0,,,2.0,,2.0,,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,0.0,,1.0,0.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,,1.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,,,2024-01-01,2023-08-19
4,1,2,,3.0,5.0,,5.0,5.0,,5.0,,,5.0,,,5.0,,5.0,,5.0,,3.0,,,4.0,,5.0,,2.0,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,,0.0,0.0,,0.0,1.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,,,0.0,1.0,,1.0,,,1.0,,,2023-10-01,2023-08-19
5,1,2,,2.0,4.0,,5.0,5.0,,5.0,,,5.0,,,5.0,,5.0,,4.0,,2.0,,,3.0,,4.0,,1.0,1.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,0.0,,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,,1.0,,0.0,,0.0,,,0.0,1.0,,0.0,,,0.0,,,2023-10-01,2023-08-19
6,2,1,,6.0,4.0,,4.0,3.0,,3.0,,,3.0,,,3.0,,3.0,,3.0,,6.0,,,5.0,,5.0,,7.0,5.0,,1.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,1.0,,2.0,7.0,,3.0,,3.0,,,3.0,,3.0,,,2.0,,1.0,,0.0,,0.0,,,0.0,7.0,,0.0,,,7.0,,,2023-06-15,2023-08-19
7,2,1,,6.0,4.0,,3.0,3.0,,3.0,,,3.0,,,2.0,,3.0,,3.0,,5.0,,,5.0,,4.0,,7.0,5.0,,1.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,1.0,1.0,,1.0,7.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,,0.0,,0.0,,0.0,,,0.0,7.0,,0.0,,,7.0,,,2023-06-15,2023-08-19
8,2,1,,6.0,5.0,,5.0,5.0,,4.0,,,4.0,,,4.0,,4.0,,4.0,,6.0,,,6.0,,6.0,,6.0,5.0,,1.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,1.0,2.0,,3.0,7.0,,3.0,,3.0,,,3.0,,3.0,,,3.0,,1.0,,0.0,,0.0,,,0.0,7.0,,0.0,,,7.0,,,2023-06-15,2023-08-19
9,2,1,,6.0,5.0,,5.0,5.0,,4.0,,,4.0,,,4.0,,4.0,,4.0,,6.0,,,6.0,,6.0,,6.0,4.0,,0.0,,-1.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,7.0,,0.0,,1.0,,,1.0,,0.0,,,0.0,,0.0,,0.0,,0.0,,,0.0,8.0,,0.0,,,7.0,,,2023-06-15,2023-08-19
