polygon_unique_id,pixel_id_num,x,y,class,di_t+0,di_t+1,di_t+10,di_t+11,di_t+12,di_t+14,di_t+15,di_t+16,di_t+17,di_t+18,di_t+19,di_t+2,di_t+20,di_t+21,di_t+22,di_t+23,di_t+24,di_t+25,di_t+26,di_t+27,di_t+28,di_t+29,di_t+3,di_t+30,di_t+31,di_t+32,di_t+33,di_t+34,di_t+35,di_t+36,di_t+37,di_t+38,di_t+4,di_t+40,di_t+41,di_t+42,di_t+43,di_t+44,di_t+45,di_t+46,di_t+47,di_t+48,di_t+49,di_t+5,di_t+50,di_t+51,di_t+52,di_t+6,di_t+7,di_t+8,di_t+9,di_t-1,di_t-10,di_t-11,di_t-12,di_t-13,di_t-14,di_t-15,di_t-16,di_t-17,di_t-18,di_t-19,di_t-2,di_t-20,di_t-21,di_t-22,di_t-23,di_t-24,di_t-25,di_t-27,di_t-28,di_t-29,di_t-3,di_t-30,di_t-31,di_t-32,di_t-33,di_t-34,di_t-35,di_t-36,di_t-37,di_t-38,di_t-39,di_t-4,di_t-40,di_t-41,di_t-42,di_t-43,di_t-44,di_t-45,di_t-46,di_t-47,di_t-48,di_t-49,di_t-5,di_t-50,di_t-51,di_t-52,di_t-6,di_t-7,di_t-8,di_t-9,Flight_Date
0,0,4451775.0,3032765.0,2,,1.0,2.0,,2.0,2.0,,2.0,,,3.0,,,3.0,,4.0,,3.0,,3.0,,3.0,1.0,,,3.0,,1.0,,1.0,,8.0,,,1.0,,2.0,,4.0,,1.0,,1.0,,,1.0,,1.0,,1.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,1.0,,1.0,,,1.0,,1.0,,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,,,2023-08-19
0,1,4451795.0,3032765.0,2,,2.0,4.0,,5.0,5.0,,5.0,,,5.0,,,5.0,,5.0,,4.0,,3.0,,3.0,2.0,,,4.0,,1.0,,1.0,,10.0,,,1.0,,3.0,,5.0,,1.0,,1.0,,,1.0,,3.0,,4.0,,1.0,1.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,0.0,,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,,1.0,,0.0,,0.0,,,0.0,1.0,,0.0,,,0.0,,,2023-08-19
0,2,4451765.0,3032755.0,2,,2.0,4.0,,4.0,4.0,,4.0,,,4.0,,,4.0,,4.0,,4.0,,3.0,,3.0,2.0,,,3.0,,1.0,,1.0,,9.0,,,1.0,,1.0,,8.0,,1.0,,1.0,,,1.0,,3.0,,4.0,,1.0,1.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,1.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,,,0.0,1.0,,0.0,,,1.0,,,2023-08-19
0,3,4451775.0,3032755.0,2,,2.0,4.0,,4.0,4.0,,4.0,,,4.0,,,4.0,,4.0,,4.0,,3.0,,3.0,3.0,,,4.0,,1.0,,1.0,,1.0,,,1.0,,1.0,,8.0,,1.0,,1.0,,,1.0,,4.0,,4.0,,1.0,1.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,1.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,,,0.0,1.0,,0.0,,,1.0,,,2023-08-19
0,4,4451785.0,3032755.0,2,,3.0,5.0,,5.0,5.0,,5.0,,,5.0,,,5.0,,5.0,,5.0,,4.0,,4.0,3.0,,,4.0,,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,,4.0,,5.0,,2.0,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,,,0.0,,0.0,,0.0,,0.0,,,0.0,2.0,,1.0,,,1.0,,,2023-08-19
0,5,4451795.0,3032755.0,2,,3.0,5.0,,5.0,5.0,,5.0,,,5.0,,,5.0,,5.0,,5.0,,4.0,,4.0,3.0,,,4.0,,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,,4.0,,5.0,,2.0,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,,0.0,0.0,,0.0,1.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,,,0.0,1.0,,1.0,,,1.0,,,2023-08-19
1,6,4452635.0,3033315.0,1,,5.0,6.0,,6.0,6.0,,6.0,,,6.0,,,5.0,,6.0,,5.0,,4.0,,4.0,5.0,,,4.0,,1.0,,1.0,,8.0,,,1.0,,6.0,,6.0,,1.0,,8.0,,,6.0,,6.0,,6.0,,6.0,3.0,,1.0,,-1.0,,0.0,,0.0,,,-1.0,,,-1.0,,0.0,1.0,,2.0,6.0,,2.0,,3.0,,,3.0,,3.0,,,3.0,,1.0,,0.0,,0.0,,,0.0,7.0,,0.0,,,6.0,,,2023-08-19
1,7,4452645.0,3033315.0,1,,5.0,6.0,,6.0,6.0,,6.0,,,6.0,,,6.0,,6.0,,5.0,,4.0,,4.0,5.0,,,4.0,,1.0,,1.0,,7.0,,,1.0,,6.0,,6.0,,1.0,,7.0,,,6.0,,6.0,,6.0,,6.0,3.0,,0.0,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,,0.0,1.0,,2.0,6.0,,3.0,,3.0,,,3.0,,3.0,,,2.0,,1.0,,0.0,,0.0,,,0.0,7.0,,0.0,,,6.0,,,2023-08-19
1,8,4452655.0,3033315.0,1,,4.0,4.0,,4.0,4.0,,4.0,,,4.0,,,3.0,,3.0,,3.0,,2.0,,2.0,4.0,,,2.0,,0.0,,0.0,,5.0,,,0.0,,5.0,,4.0,,0.0,,5.0,,,5.0,,5.0,,4.0,,4.0,2.0,,0.0,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,,0.0,1.0,,2.0,5.0,,2.0,,3.0,,,3.0,,3.0,,,2.0,,0.0,,-1.0,,-1.0,,,-1.0,5.0,,-1.0,,,5.0,,,2023-08-19
1,9,4452635.0,3033305.0,1,,6.0,5.0,,5.0,5.0,,4.0,,,4.0,,,4.0,,4.0,,4.0,,4.0,,4.0,6.0,,,4.0,,1.0,,1.0,,8.0,,,1.0,,1.0,,6.0,,1.0,,7.0,,,6.0,,6.0,,6.0,,6.0,4.0,,0.0,,-1.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,7.0,,0.0,,1.0,,,1.0,,0.0,,,0.0,,0.0,,0.0,,0.0,,,0.0,8.0,,0.0,,,7.0,,,2023-08-19
