point_id,true_class,predicted_class
8663,2,0
7746,0,2
66,1,0
2747,2,0
2490,2,0
4075,1,0
2528,2,0
249,1,0
2211,2,0
3084,2,0
8100,1,0
1655,2,0
2297,2,0
8546,2,0
9223,2,0
2465,2,1
2296,2,0
2835,2,0
2704,2,0
2052,2,0
1506,2,0
2733,2,0
1435,2,0
1413,2,0
2344,2,0
9046,2,0
3030,2,0
4068,1,0
1489,2,0
9097,2,0
8338,2,0
2850,2,1
8201,2,0
2555,2,0
1368,2,0
1955,2,0
8202,2,0
8941,2,0
8656,2,0
2138,2,0
60,1,0
7600,1,0
2308,2,0
3063,2,0
1621,2,0
7826,1,0
9236,2,0
1467,2,0
7462,1,0
1590,2,0
7979,1,0
9043,2,0
2746,2,0
7559,1,0
2879,2,0
1544,2,0
7910,1,0
2086,2,0
7908,1,0
2063,2,0
2014,2,1
8729,2,0
1480,2,0
8017,1,0
7454,1,0
2582,2,0
7854,1,0
8596,2,0
9231,2,0
8886,2,0
2534,2,0
8981,2,0
2201,2,1
8258,2,0
2417,2,0
9100,2,0
8919,2,0
2064,2,1
9101,2,0
1943,2,0
9136,2,0
2231,2,0
8947,2,0
7184,1,0
1469,2,0
2612,2,0
2772,2,0
7886,1,0
1847,2,1
1699,2,0
2194,2,1
2671,2,0
8765,2,0
56,1,0
8557,2,0
2949,2,0
8733,2,0
8643,2,1
2866,2,0
4668,0,2
8862,2,0
2430,2,0
8638,2,0
8698,2,0
7519,1,0
2358,2,0
9086,2,0
9213,2,0
8005,1,0
2418,2,0
2387,2,0
2301,2,1
7977,1,0
9179,2,0
1828,2,0
7432,1,0
2697,2,1
9227,2,0
1842,2,1
1772,2,0
2644,2,0
196,1,0
7443,1,0
1714,2,0
8980,2,0
2999,2,0
8637,2,0
8241,2,0
2309,2,0
2486,2,0
4698,0,2
9124,2,0
8237,2,0
1748,2,0
2519,2,0
2934,2,0
8250,2,0
8990,2,0
8501,2,0
7986,1,0
2113,2,1
7535,1,0
2758,2,0
8965,2,0
2114,2,0
2415,2,0
2209,2,0
2609,2,0
9006,2,0
2782,2,0
1395,2,0
2030,2,0
7590,1,0
2380,2,0
9253,2,0
7430,1,0
8898,2,0
2382,2,0
9009,2,0
7532,1,0
8052,1,0
2195,2,1
1954,2,0
8731,2,0
2816,2,0
8991,2,0
1390,2,0
248,1,0
3031,2,0
7241,1,0
1739,2,0
9168,2,0
7989,1,0
7941,1,0
9232,2,0
8332,2,0
1382,2,0
8680,2,0
8646,2,1
3082,2,0
1441,2,0
9150,2,0
1804,2,0
8238,2,0
2065,2,1
