point_id,true_class,predicted_class
7341,1,0
4329,1,0
7361,1,0
7348,1,0
5498,1,0
44,0,2
7029,2,0
3414,0,1
7366,1,0
4144,1,0
3284,1,2
4480,0,1
8168,2,1
2909,0,1
765,0,1
4082,1,2
8170,2,1
4987,0,2
3295,1,2
8817,1,0
245,1,2
4088,1,2
4140,1,0
8169,2,1
551,0,2
4148,1,2
4104,1,2
3945,1,0
434,0,1
21,0,1
3495,0,1
5115,0,2
7360,1,0
4148,1,2
4137,1,2
4114,1,2
5592,1,2
2924,0,1
2617,0,2
3940,1,0
215,0,1
4121,1,2
6122,1,2
71,0,1
4324,1,0
2924,0,1
4170,1,0
614,0,1
4108,1,2
2768,0,1
8852,1,0
4166,1,2
648,0,1
2785,0,1
4170,1,0
4095,1,2
6920,1,0
804,0,1
221,0,1
7369,1,0
484,0,2
3514,0,1
6104,1,2
4215,0,1
54,0,1
46,0,1
7345,1,0
8220,2,1
4325,1,0
7365,1,0
4088,1,2
3990,1,2
3267,1,2
6177,1,2
3295,1,2
7349,1,0
4323,1,0
5508,1,0
7360,1,0
765,0,1
457,0,2
1040,0,1
5514,1,0
6088,1,0
5074,0,2
3114,0,2
4300,1,0
320,0,2
4166,1,2
1640,0,1
6952,2,1
3941,1,0
8806,1,0
7344,1,0
4329,1,0
5505,1,0
618,0,1
8849,1,0
53,0,2
7734,2,0
2691,0,1
5504,1,0
8198,2,1
7419,2,1
78,0,1
3131,1,0
5502,1,0
3941,1,0
8390,1,0
5498,1,0
5316,0,1
4900,1,0
1693,0,2
8154,1,2
6059,1,2
78,0,1
4112,1,2
7497,2,1
7370,1,0
2798,0,1
3943,1,0
